,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
381,381,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39873,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703551702,1654703551702,0,2,128,1654703551702,1654703551702,0,1,74,1654703551702,1654703551702,0,1,54,Unknown,Unspecified,0,0,,,,,
382,382,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39876,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703551707,1654703551707,0,2,128,1654703551707,1654703551707,0,1,74,1654703551707,1654703551707,0,1,54,Unknown,Unspecified,0,0,,,,,
383,383,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,51764,192.168.88.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703551724,1654703551725,1,2,128,1654703551724,1654703551724,0,1,74,1654703551725,1654703551725,0,1,54,Unknown,Unspecified,0,0,,,,,
384,384,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,51767,192.168.88.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703551729,1654703551729,0,2,128,1654703551729,1654703551729,0,1,74,1654703551729,1654703551729,0,1,54,Unknown,Unspecified,0,0,,,,,
385,385,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,48972,52.205.66.64,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654703692923,1654703692924,1,2,163,1654703692923,1654703692924,1,2,163,0,0,0,0,0,TLS.AmazonAWS,Cloud,1,2,,,,,
386,386,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,50000,239.255.255.250,01:00:5e:7f:ff:fa,01:00:5e,1900,17,4,0,0,1654703710319,1654703716325,6006,6,837,1654703710319,1654703716325,6006,6,837,0,0,0,0,0,SSDP,System,0,4,,,,,
387,387,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,0,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,0,1,4,0,0,1654703712408,1654703712408,0,1,159,1654703712408,1654703712408,0,1,159,0,0,0,0,0,ICMP,Network,0,4,,,,,
388,388,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,34807,3.212.205.83,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654703712905,1654703719419,6514,120,90972,1654703712905,1654703719419,6514,74,82506,1654703713150,1654703719384,6234,46,8466,TLS.Amazon,Web,0,4,device-metrics-us.amazon.com,bdf21e38e1f69776df407235625e75e2,6f84bbe9810ec4ea9061cc1a02eaf83c,,
389,389,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39888,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703852019,1654703852019,0,2,128,1654703852019,1654703852019,0,1,74,1654703852019,1654703852019,0,1,54,Unknown,Unspecified,0,0,,,,,
390,390,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39891,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703852040,1654703852040,0,2,128,1654703852040,1654703852040,0,1,74,1654703852040,1654703852040,0,1,54,Unknown,Unspecified,0,0,,,,,
391,391,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39894,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703852049,1654703852049,0,2,128,1654703852049,1654703852049,0,1,74,1654703852049,1654703852049,0,1,54,Unknown,Unspecified,0,0,,,,,
392,392,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39897,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703852054,1654703852054,0,2,128,1654703852054,1654703852054,0,1,74,1654703852054,1654703852054,0,1,54,Unknown,Unspecified,0,0,,,,,
393,393,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,51785,192.168.88.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703852077,1654703852077,0,2,128,1654703852077,1654703852077,0,1,74,1654703852077,1654703852077,0,1,54,Unknown,Unspecified,0,0,,,,,
394,394,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,51788,192.168.88.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654703852099,1654703852099,0,2,128,1654703852099,1654703852099,0,1,74,1654703852099,1654703852099,0,1,54,Unknown,Unspecified,0,0,,,,,
395,395,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,25572,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654703862314,1654703862399,85,2,298,1654703862314,1654703862314,0,1,85,1654703862399,1654703862399,0,1,213,DNS,Network,0,4,fos5echocaptiveportal.com,,,,
396,396,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,5353,224.0.0.251,01:00:5e:00:00:fb,01:00:5e,5353,17,4,0,0,1654703969605,1654703985606,16001,18,2663,1654703969605,1654703985606,16001,18,2663,0,0,0,0,0,MDNS,Network,0,4,2.10.10.10.in-addr.arpa,,,,
397,397,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,54987,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654703973171,1654703973469,298,2,258,1654703973171,1654703973171,0,1,82,1654703973469,1654703973469,0,1,176,DNS.AmazonAlexa,VirtAssistant,0,4,api.eu.amazonalexa.com,,,,
398,398,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,35319,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654703973828,1654703974104,276,2,258,1654703973828,1654703973828,0,1,82,1654703974104,1654703974104,0,1,176,DNS.AmazonAlexa,VirtAssistant,0,4,api.fe.amazonalexa.com,,,,
399,399,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39851,13.224.254.11,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654703974105,1654703974817,712,20,8596,1654703974105,1654703974817,712,10,1635,1654703974127,1654703974778,651,10,6961,TLS.AmazonAlexa,VirtAssistant,0,4,api.fe.amazonalexa.com,bdf21e38e1f69776df407235625e75e2,6f84bbe9810ec4ea9061cc1a02eaf83c,,
400,400,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,34511,13.225.0.45,ba:69:f4:f0:3d:02,ba:69:f4,80,6,4,0,0,1654703981321,1654703996091,14770,8,528,1654703981321,1654703996091,14770,8,528,0,0,0,0,0,HTTP.AmazonAWS,Cloud,1,2,,,,,
